,DATE,PCND,DFND,PCSV,DFSV,nd.real,sv.real,c.real,c.lag,c.g
206,01-04-1998,1319.925,69.022,3743.404,69.369,19.12325056,53.9636437,73.08689426,72.16818568,0.012649758
207,01-07-1998,1334.82,69.298,3806.982,69.715,19.26202776,54.60778885,73.86981662,73.08689426,0.010655243
208,01-10-1998,1355.16,69.405,3847.889,70.074,19.52539442,54.91179325,74.43718767,73.86981662,0.007651342
209,01-01-1999,1384.945,69.638,3897.64,70.403,19.88777679,55.36184538,75.24962216,74.43718767,0.010855231
210,01-04-1999,1418.268,70.644,3952.227,70.719,20.07626975,55.88635303,75.96262278,75.24962216,0.009430531
211,01-07-1999,1440.071,71.402,4017.646,71.108,20.16849668,56.50061878,76.66911546,75.96262278,0.009257547
212,01-10-1999,1482.69,72.046,4100.553,71.628,20.57976848,57.24790585,77.82767433,76.66911546,0.014998119
213,01-01-2000,1492.211,73.15,4200.511,72.248,20.39933014,58.14016997,78.53950011,77.82767433,0.009104605
214,01-04-2000,1535.118,73.79,4270.464,72.565,20.80387586,58.85018949,79.65406535,78.53950011,0.014091391
215,01-07-2000,1557.492,74.374,4346.219,73.161,20.94135047,59.40622736,80.34757783,79.65406535,0.008668871
216,01-10-2000,1577.579,74.616,4418.693,73.752,21.14263697,59.9128566,81.05549357,80.34757783,0.008772079
217,01-01-2001,1572.434,74.818,4487.643,74.539,21.0167874,60.20530192,81.22208933,81.05549357,0.00205322
218,01-04-2001,1590.627,75.329,4526.231,75.019,21.11573232,60.33446194,81.45019426,81.22208933,0.002804474
219,01-07-2001,1591.359,75.018,4549.408,75.299,21.21302887,60.41790728,81.63093615,81.45019426,0.00221659
220,01-10-2001,1581.892,73.948,4596.882,75.824,21.3919511,60.6256858,82.0176369,81.63093615,0.004725999
221,01-01-2002,1585.634,73.812,4648.057,76.228,21.48206254,60.97571758,82.45778012,82.0176369,0.005352098
