Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
197503,32.161184,46.75332154,7.598708882,70.1418151,46.81083069,35.4005423,62.17076917,16.8084076,27.39152819,35.9106566,41.85708498,33.58804382,27.17548764,39.13628239,30.64160814,38.91638941,30.28077441,36.5808785,6.077063388,18.3262214,15.83968154,38.15467359,31.63532595,20.7637028,29.13749314,34.81127959,46.38566291,66.68552137,20.34851426,23.78888633
197506,13.92651095,4.743026688,12.16065706,18.30423455,15.79700155,12.7788185,18.81526174,8.22260057,21.47076031,21.12862433,16.13254584,10.56830902,17.21057909,25.2209867,17.35202036,31.65707309,21.40703018,45.65318676,27.7291421,18.23200997,6.709797992,18.04231755,14.12675551,19.07094506,8.076002117,15.32106428,13.58301864,26.962736,14.67534361,16.97507203
197509,-10.06784597,-14.08613578,-9.579836425,-11.04227046,-13.84610242,-15.72417842,-7.596916374,-20.52927785,-10.9911156,-6.019855902,-13.08463721,-8.183901535,-10.10851424,-18.16350471,-2.740090371,-11.62401443,-15.81780268,-5.4034616,-6.17305848,-6.929486758,-8.812770725,-16.85588594,-12.62690881,-10.71728378,-9.271110788,-7.869052867,-11.01147315,-14.48113636,-19.5261877,-14.6107353
197512,14.72358193,3.907333302,12.15869,1.054791432,10.37754976,9.823565984,21.03652268,8.947158502,8.79506456,12.12465204,9.057611555,0.857782931,3.330450622,1.488850195,15.45702924,-1.911720153,-3.513746422,-10.72802544,-2.84064,11.29389239,11.25916147,5.504178088,12.443786,11.41055565,12.12669999,5.317121309,11.09860769,19.46528229,9.639441457,5.536478815
197603,4.5151265,18.2315722,7.11488125,23.57174849,16.24666594,13.40805336,35.32277357,7.321822909,18.74533942,26.78870944,28.12434865,27.50718272,25.00759163,20.44582959,24.53745297,30.91639288,21.46085686,17.97204761,12.40523708,6.029071454,14.06724938,18.38300585,23.39013987,22.27010211,18.92606746,25.63270025,17.31138868,17.66837938,18.02547871,17.04788614
197606,4.22541153,-4.232307205,-6.297642202,1.379321225,-1.717990422,-1.357113413,-9.527412118,-3.595048337,-2.843061278,-9.360231424,-0.886377774,6.579383187,9.476004303,5.971243648,1.615466784,16.00158057,7.317080451,29.51554515,12.90218678,3.499475981,2.253409508,3.365259046,5.15422753,-2.265744828,7.277049665,1.57941175,-10.43503062,-7.613473506,1.472283294,2.120917071
197609,2.068356755,-3.555737379,13.76928156,-7.390909216,5.878187053,-3.24523641,-2.627116102,5.466253495,-5.038413568,-4.5532636,-0.597342014,-4.371760084,-4.539891155,1.444165746,5.182918522,0.07399556,-5.025190672,-8.499315743,4.692850275,10.17176367,7.735713297,-1.13320083,-0.218456727,2.659486592,-4.22156608,-4.33797112,3.26609872,-8.646257307,1.563613718,0.555463565
197612,2.964220213,-2.493888619,6.656451718,10.54186277,12.90780078,-0.264555672,14.49473331,-7.635221725,2.00643635,10.67257286,12.54011466,1.055496848,3.86569655,-2.433038099,8.625000502,2.858266,5.432228152,2.406574438,4.654038189,8.973218677,8.074321173,9.42220703,0.587896938,0.903254375,5.592642112,5.450339201,6.890576038,4.508961098,11.44903319,8.195679449
197703,-6.082609522,-14.15896335,-7.886080226,-10.30290556,-5.62283436,-13.25860781,-5.986381234,-10.64017254,-6.757653632,-6.863183969,-5.27351244,-3.714445656,-1.587404148,0.086579365,-10.90240689,-2.693518722,-1.835450062,3.445983375,-4.898238584,-2.4811408,0.029939009,-3.077119145,-4.545339992,-6.618550434,-6.652903467,-1.950477443,-11.64418353,-17.33654664,-6.6045624,-3.447275576
197706,3.53896462,-2.730811816,5.888816891,3.628967024,9.97910503,2.195554938,3.808818102,1.426565504,-3.911183653,2.650218348,3.590134856,-4.855789963,7.65213573,8.413825918,6.513725038,13.59031669,-8.4736099,-5.283690333,8.656124296,9.581491718,4.110928788,12.46164338,2.40988567,-0.502166643,9.242724752,0.582334742,-2.136357972,14.44937759,7.82988041,6.725507596
197709,2.796784126,-0.846597064,3.210583364,-2.244212752,-2.354189555,-0.04912352,1.803838185,0.612797126,-6.643365621,-1.992062434,-6.16971763,-17.28043843,-6.467839985,-3.529320666,-0.841182684,-8.02982248,-7.0919315,-13.57599026,-6.600517461,-0.446681328,0.261846429,-0.04409231,-1.506797843,-4.177409748,-7.476915043,-2.465762769,3.78392154,9.162469508,-0.784893923,0.941778318
197712,-1.448524357,-1.634858205,-1.507434152,4.205229746,12.66887359,-4.797847789,7.561153981,4.853873298,1.042212982,1.797263781,5.116472707,5.934049424,2.439680882,1.496502368,-3.645335062,5.311816137,-1.714218685,-0.734039521,1.620313216,0.701700064,-0.865801442,6.9993719,4.266110555,-0.367538819,4.3584496,5.646350101,-0.270328731,6.74098083,0.654716756,3.668728764
197803,-2.704667506,2.840588706,-1.823754959,0.747117812,0.503810893,-8.086818181,3.245643416,-0.84405472,-7.32192125,1.820041169,-1.139323785,-2.484243748,-4.083957244,-2.282337562,0.501438478,5.670408147,-2.23594838,-8.91381153,-5.995022503,-2.594522656,2.41304839,3.004247724,-8.88206896,-5.678472832,1.774339678,2.587746883,-6.519189798,2.376619936,-1.150064603,1.754125491
197806,11.65552818,7.7511869,11.42651579,18.97503296,14.69074671,16.3462408,6.891870995,16.197263,8.509563008,8.533319149,11.52421843,5.615698242,16.22064212,19.25976692,3.716123834,30.49236982,3.337296613,8.146166512,3.522228171,1.769354391,0.989311623,13.31582055,14.61884134,15.0079613,11.63725344,11.00199261,8.652435819,24.34988691,10.9168313,13.79403103
197809,5.312809628,7.191970525,8.102779984,9.597254372,11.32525585,6.889482058,6.166871174,6.93483575,10.15529578,17.78744429,14.49571601,10.08231172,9.586897723,5.450652742,7.132617051,12.00999073,17.42756458,2.56775064,14.12923867,3.03466554,6.322168717,10.12498208,10.29575958,10.97689271,12.00742504,11.33825828,8.415323232,16.70463354,10.10363648,11.35819166
197812,-7.709184486,-7.876259395,-3.547628506,-10.46560423,-8.418133389,-5.434607447,-11.4007998,-5.18983083,-8.517617596,-16.30108242,-14.61435556,-10.6269607,-8.550746241,-11.20555403,-10.38079251,-5.455461434,-7.54585712,-13.93621996,-2.07129991,-5.460425772,-1.558009353,-12.86522698,0.183741402,-4.639533206,-15.50801575,-9.287488,-12.5551348,-22.35160036,-8.53332928,-10.30180636
197903,1.270676461,10.69090865,2.63404712,5.846655824,6.416301772,2.657380003,17.2732703,1.726024708,14.16645092,15.55929202,14.31504242,19.14695692,9.778213437,6.2471587,8.742416868,-1.123630093,21.77767238,27.10593225,13.33864037,7.085867555,3.151847309,7.709290093,8.470787048,9.464583287,7.579420829,11.61144394,7.497199304,11.27345212,9.280583149,12.92260258
197906,1.257323244,3.392385891,2.340352988,2.543832742,1.105178415,-1.019305964,1.008911082,2.49115045,-1.1101883,3.610396208,5.271829334,-1.133458523,5.130906756,9.127809128,3.523972983,-1.406344614,10.63805892,13.57388013,11.22752076,3.553938381,-0.131734382,8.018134358,-1.410757672,-0.633060176,4.059249905,1.944286022,0.382101898,5.425476992,10.42138399,7.710874441
197909,5.783013665,11.36863995,8.275064732,12.58909527,12.14880842,3.128701071,9.96635468,8.105019438,14.26040916,2.288740558,12.67458454,14.82730036,7.80492049,3.401553078,7.986284044,18.32730097,18.83124565,2.860946555,16.41750371,1.983291956,-0.966579725,12.27451857,2.185067735,2.983559806,9.818727122,12.79435323,7.90575068,4.526975449,7.32335292,7.53144116
197912,-1.82096398,1.668431824,5.679765382,6.095953449,0.338790311,-3.626393968,2.93423277,6.1940792,3.274450634,1.976874306,-0.558248966,-3.635855088,1.340306731,2.296928706,-13.72255732,11.82403239,15.02426861,3.849993447,9.23620877,0.604028744,-2.686252465,3.63919592,1.702789998,-4.98149362,-1.661932286,9.470376488,-4.310133203,-6.550419912,-2.773474849,3.101487378
198003,-10.92248982,-6.083600544,-6.071421704,-6.168543252,-14.00908887,-7.746284262,-4.858524838,-8.533841247,-9.399886822,-11.161282,-9.737831172,-4.306402,-8.971307859,-5.758758928,-7.355156134,-0.010918961,-4.179996515,-15.13495929,5.92045288,-8.362782208,-6.047268976,-12.15340047,-9.629863674,-6.944005285,-9.970215998,-7.330983625,-13.20046386,-15.5926639,-11.57703051,-11.38418642
198006,18.2824363,18.76115747,26.13322575,9.33875723,16.18138554,12.27306331,8.206228114,11.77211756,15.55647176,15.81344799,18.02402121,10.18181325,12.85627014,11.16394363,2.193112916,-1.342783796,23.00899511,25.95125258,17.55634788,22.43866556,12.02160989,22.65840028,8.642800112,12.46123894,13.57839804,12.49975666,17.48724806,25.8368617,20.87490849,20.52822842
198009,4.656781728,11.56382471,4.852669045,16.69886048,21.19263349,11.88495658,20.24056394,13.14847012,14.36225084,16.80115307,16.06085586,19.22118296,19.46670624,15.63796887,18.56876917,18.47431376,29.00783056,14.52720593,12.67577608,-1.030741797,5.686791644,28.23365714,21.79227334,10.59937683,18.6922742,28.44804065,10.4723063,11.6797325,7.926899808,18.62880848
198012,1.587958082,-3.445643432,7.276799129,13.52802422,4.397099912,5.158284585,2.058760689,12.35778378,6.11839723,-2.511246383,6.064799155,-0.029066905,11.57036886,9.417128967,-5.444399993,20.26891743,-1.454728454,3.491228593,20.08473865,7.45559779,-2.436812657,9.991749635,10.33594944,3.52407065,13.46030024,1.385460008,-0.679708475,-5.764345877,9.04425488,11.54274189
198103,11.90486916,16.46136634,7.722787598,12.82568259,9.402845428,11.08596257,20.11661008,6.135686058,7.41226786,13.82088543,9.714788963,23.89438782,1.97417604,8.811390258,13.90258901,-8.537036329,3.453666596,-4.565478182,-13.08470292,-1.162617242,9.049362182,8.281840806,-3.389503251,15.05392467,16.57160887,8.079330032,17.69361162,19.52090582,6.24101345,3.450772145
198106,1.804776273,-0.20101744,4.287912884,1.097166747,9.78461929,-2.278278288,-0.081082744,0.62726522,-1.491431283,11.02428912,-3.463113822,-7.91324039,-4.030642967,3.593711702,1.825759706,-2.59789021,-3.065738224,-5.133491692,-6.955545952,2.746219305,11.61994017,2.980183733,-2.88478243,-2.996404982,-0.128558915,-2.011357468,5.604424726,5.252673295,5.165089579,1.681686908
198109,-7.875525046,-7.325773189,-3.392705102,-14.40745542,-10.6954307,-11.0239858,-8.386493536,-12.51772262,-17.99959341,-11.63120021,-19.2879927,-15.91061507,-15.28364194,-14.49069301,-15.54924746,-21.43080076,-10.8249557,-13.10180562,-11.45260905,-3.731188288,2.364873824,-15.80011577,-13.83979886,-15.04779746,-16.84712397,-14.32886612,-11.0829126,-18.19886232,-10.37058053,-16.70289372
198112,11.24198888,9.501852752,3.348573613,10.39468158,11.08324111,6.194125752,0.725838976,11.35099174,7.54518761,7.260434643,4.624520473,2.892939406,7.444456357,7.05789952,-3.257814678,5.714018585,-4.632729042,12.66658345,9.827344256,8.479936864,7.272934554,12.65224254,6.610111693,9.238911968,9.93151104,7.308680354,4.686870565,8.829531492,9.126641204,7.878328207
